Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-05 00:00:00-05:00,1311.0999755859375,1315.0999755859375,1311.0,1314.199951171875,362,0.0,0.0
2019-02-06 00:00:00-05:00,1312.5,1313.5,1305.0,1309.5,358,0.0,0.0
2019-02-07 00:00:00-05:00,1302.9000244140625,1310.4000244140625,1302.199951171875,1309.4000244140625,203,0.0,0.0
2019-02-08 00:00:00-05:00,1309.5,1314.0,1307.800048828125,1313.699951171875,122,0.0,0.0
2019-02-11 00:00:00-05:00,1313.4000244140625,1313.4000244140625,1304.699951171875,1307.0,119,0.0,0.0
2019-02-12 00:00:00-05:00,1310.0,1312.0,1307.5999755859375,1309.199951171875,109,0.0,0.0
2019-02-13 00:00:00-05:00,1311.5999755859375,1316.0,1308.0999755859375,1310.800048828125,143,0.0,0.0
2019-02-14 00:00:00-05:00,1305.0,1311.800048828125,1301.5999755859375,1309.800048828125,858,0.0,0.0
2019-02-15 00:00:00-05:00,1313.5999755859375,1318.800048828125,1313.5999755859375,1318.0999755859375,190,0.0,0.0
2019-02-19 00:00:00-05:00,1320.9000244140625,1340.0999755859375,1320.5,1340.0999755859375,390,0.0,0.0
2019-02-20 00:00:00-05:00,1342.199951171875,1344.0,1338.0,1343.300048828125,581,0.0,0.0
2019-02-21 00:00:00-05:00,1331.300048828125,1334.9000244140625,1320.9000244140625,1323.5,414,0.0,0.0
2019-02-22 00:00:00-05:00,1324.199951171875,1331.300048828125,1321.0,1329.199951171875,718,0.0,0.0
2019-02-25 00:00:00-05:00,1329.199951171875,1331.5999755859375,1325.5999755859375,1325.9000244140625,185,0.0,0.0
2019-02-26 00:00:00-05:00,1323.300048828125,1325.5,1323.300048828125,1325.0999755859375,939,0.0,0.0
2019-02-27 00:00:00-05:00,1327.699951171875,1327.9000244140625,1316.5,1317.699951171875,604,0.0,0.0
2019-02-28 00:00:00-05:00,1321.0999755859375,1323.699951171875,1311.5,1312.800048828125,141,0.0,0.0
2019-03-01 00:00:00-05:00,1312.199951171875,1312.199951171875,1288.9000244140625,1296.4000244140625,110,0.0,0.0
2019-03-04 00:00:00-05:00,1285.5,1287.0,1281.9000244140625,1284.800048828125,28,0.0,0.0
2019-03-05 00:00:00-05:00,1287.0,1287.0,1282.0,1282.0,114,0.0,0.0
2019-03-06 00:00:00-05:00,1287.0999755859375,1287.0999755859375,1282.5999755859375,1284.9000244140625,14,0.0,0.0
2019-03-07 00:00:00-05:00,1281.0,1284.5999755859375,1281.0,1283.800048828125,11,0.0,0.0
2019-03-08 00:00:00-05:00,1292.0999755859375,1297.4000244140625,1291.5999755859375,1297.0,10,0.0,0.0
2019-03-11 00:00:00-04:00,1291.0,1291.0,1288.800048828125,1288.800048828125,9,0.0,0.0
2019-03-12 00:00:00-04:00,1294.699951171875,1296.300048828125,1294.699951171875,1296.300048828125,1,0.0,0.0
2019-03-13 00:00:00-04:00,1307.5,1307.5,1307.5,1307.5,0,0.0,0.0
2019-03-14 00:00:00-04:00,1293.4000244140625,1293.4000244140625,1293.4000244140625,1293.4000244140625,1,0.0,0.0
2019-03-15 00:00:00-04:00,1300.9000244140625,1304.699951171875,1300.5,1301.800048828125,26,0.0,0.0
2019-03-18 00:00:00-04:00,1297.300048828125,1302.199951171875,1297.300048828125,1300.300048828125,8,0.0,0.0
2019-03-19 00:00:00-04:00,1306.9000244140625,1306.9000244140625,1304.800048828125,1305.0,20,0.0,0.0
2019-03-20 00:00:00-04:00,1300.699951171875,1300.699951171875,1300.5,1300.5,2,0.0,0.0
2019-03-21 00:00:00-04:00,1306.0999755859375,1306.0999755859375,1306.0999755859375,1306.0999755859375,0,0.0,0.0
