ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-01,1882.8711374881739,1830.8689213581767,1910.4941734465167,1882.8711374881739,1882.8711374881739,-9.50388678396301,-9.50388678396301,-9.50388678396301,-9.50388678396301,-9.50388678396301,-9.50388678396301,0.0,0.0,0.0,1873.3672507042108
2023-03-02,1884.8429525182507,1838.6236295452939,1913.898390116872,1884.8429525182507,1884.8429525182507,-9.299036300976272,-9.299036300976272,-9.299036300976272,-9.299036300976272,-9.299036300976272,-9.299036300976272,0.0,0.0,0.0,1875.5439162172745
2023-03-03,1886.8147675483276,1841.1803007535896,1914.3769373427679,1886.8147675483276,1886.8147675483276,-9.504995583316916,-9.504995583316916,-9.504995583316916,-9.504995583316916,-9.504995583316916,-9.504995583316916,0.0,0.0,0.0,1877.3097719650107
2023-03-06,1892.7302126385584,1842.9359594233608,1916.229598033902,1892.7302126385584,1892.7302126385584,-12.472479573104495,-12.472479573104495,-12.472479573104495,-12.472479573104495,-12.472479573104495,-12.472479573104495,0.0,0.0,0.0,1880.257733065454
2023-03-07,1894.7020276686355,1850.6575311958418,1922.7297458609653,1894.7020276686355,1894.7020276686355,-8.674730876378996,-8.674730876378996,-8.674730876378996,-8.674730876378996,-8.674730876378996,-8.674730876378996,0.0,0.0,0.0,1886.0272967922565
2023-03-08,1898.4064248609043,1852.614675751372,1928.5862881044136,1898.4064248609043,1898.4064248609043,-9.50388678395666,-9.50388678395666,-9.50388678395666,-9.50388678395666,-9.50388678395666,-9.50388678395666,0.0,0.0,0.0,1888.9025380769476
2023-03-09,1902.1108220531728,1855.5423053371587,1931.3023599518208,1902.1108220531728,1902.1108220531728,-9.299036301009439,-9.299036301009439,-9.299036301009439,-9.299036301009439,-9.299036301009439,-9.299036301009439,0.0,0.0,0.0,1892.8117857521634
2023-03-10,1905.8152192454415,1860.7637099140734,1933.7381850107167,1905.8152192454415,1905.8152192454415,-9.504995583290437,-9.504995583290437,-9.504995583290437,-9.504995583290437,-9.504995583290437,-9.504995583290437,0.0,0.0,0.0,1896.3102236621512
2023-03-13,1916.9284108222478,1866.628938852056,1938.8741998299788,1916.9284108222478,1916.9284108222478,-12.472479573128355,-12.472479573128355,-12.472479573128355,-12.472479573128355,-12.472479573128355,-12.472479573128355,0.0,0.0,0.0,1904.4559312491194
2023-03-14,1920.6328080145163,1874.880249198377,1949.3043731372536,1920.6328080145163,1920.6328080145163,-8.67473087636826,-8.67473087636826,-8.67473087636826,-8.67473087636826,-8.67473087636826,-8.67473087636826,0.0,0.0,0.0,1911.958077138148
2023-03-15,1924.3372052067853,1875.4357813827949,1949.3286032602045,1924.3372052067853,1924.3372052067853,-9.503886783961086,-9.503886783961086,-9.503886783961086,-9.503886783961086,-9.503886783961086,-9.503886783961086,0.0,0.0,0.0,1914.8333184228243
2023-03-16,1928.041602399054,1882.6178052273128,1956.3051836514549,1928.041602399054,1928.041602399054,-9.299036301000394,-9.299036301000394,-9.299036301000394,-9.299036301000394,-9.299036301000394,-9.299036301000394,0.0,0.0,0.0,1918.7425660980537
2023-03-17,1931.7459995913225,1887.0576983773192,1958.3742855110463,1931.7459995913225,1931.7459995913225,-9.504995583263963,-9.504995583263963,-9.504995583263963,-9.504995583263963,-9.504995583263963,-9.504995583263963,0.0,0.0,0.0,1922.2410040080586
2023-03-20,1942.8591910609327,1891.5460215369155,1970.7880595594522,1942.8591910609327,1942.8591910609327,-12.472479573178138,-12.472479573178138,-12.472479573178138,-12.472479573178138,-12.472479573178138,-12.472479573178138,0.0,0.0,0.0,1930.3867114877546
2023-03-21,1946.5635882174695,1903.1841156770029,1976.395969130314,1946.5635882174695,1946.5635882174695,-8.674730876357524,-8.674730876357524,-8.674730876357524,-8.674730876357524,-8.674730876357524,-8.674730876357524,0.0,0.0,0.0,1937.888857341112
2023-03-22,1950.2679853740062,1903.127841296846,1978.4204666455018,1950.2679853740062,1950.2679853740062,-9.503886783958677,-9.503886783958677,-9.503886783958677,-9.503886783958677,-9.503886783958677,-9.503886783958677,0.0,0.0,0.0,1940.7640985900475
2023-03-23,1953.972382530543,1907.3144413297255,1983.9055633606988,1953.972382530543,1953.972382530543,-9.299036300991352,-9.299036300991352,-9.299036300991352,-9.299036300991352,-9.299036300991352,-9.299036300991352,0.0,0.0,0.0,1944.6733462295517
2023-03-24,1957.6767796870797,1911.1366358297591,1987.8200437421003,1957.6767796870797,1957.6767796870797,-9.504995583270128,-9.504995583270128,-9.504995583270128,-9.504995583270128,-9.504995583270128,-9.504995583270128,0.0,0.0,0.0,1948.1717841038096
