Date,Open,High,Low,Close
01/31/2024,"2,055.30","2,074.60","2,048.80","2,067.40"
01/30/2024,"2,051.50","2,068.00","2,047.10","2,050.90"
01/29/2024,"2,024.40","2,037.20","2,018.80","2,025.40"
01/26/2024,"2,021.00","2,028.10","2,015.60","2,017.30"
01/25/2024,"2,014.80","2,025.60","2,004.00","2,017.80"
01/24/2024,"2,030.70","2,037.90","2,011.70","2,016.00"
01/23/2024,"2,023.20","2,039.30","2,020.80","2,025.80"
01/22/2024,"2,031.80","2,034.10","2,017.40","2,022.20"
01/19/2024,"2,027.40","2,041.90","2,022.20","2,029.30"
01/18/2024,"2,009.10","2,025.60","2,007.70","2,021.60"
01/17/2024,"2,031.70","2,036.10","2,004.60","2,006.50"
01/16/2024,"2,060.40","2,060.40","2,027.60","2,030.20"
01/12/2024,"2,033.20","2,067.30","2,033.10","2,051.60"
01/11/2024,"2,029.40","2,056.10","2,017.30","2,019.20"
01/10/2024,"2,036.00","2,046.20","2,025.90","2,027.80"
01/09/2024,"2,034.50","2,048.60","2,031.90","2,033.00"
01/08/2024,"2,052.60","2,053.30","2,022.70","2,033.50"
01/05/2024,"2,051.40","2,071.10","2,030.80","2,049.80"
01/04/2024,"2,049.30","2,058.10","2,043.30","2,050.00"
01/03/2024,"2,067.90","2,074.30","2,038.30","2,042.80"
01/02/2024,"2,072.70","2,088.10","2,064.30","2,073.40"
12/29/2023,"2,076.10","2,084.10","2,067.60","2,071.80"
12/28/2023,"2,089.50","2,098.20","2,074.60","2,083.50"
12/27/2023,"2,079.30","2,095.80","2,072.80","2,093.10"
12/26/2023,"2,066.00","2,080.50","2,065.10","2,069.80"
12/22/2023,"2,061.20","2,083.00","2,058.20","2,069.10"
12/21/2023,"2,044.40","2,058.00","2,043.30","2,051.30"
12/20/2023,"2,053.80","2,056.90","2,040.60","2,047.70"
12/19/2023,"2,041.10","2,061.00","2,034.80","2,052.10"
12/18/2023,"2,033.30","2,048.00","2,029.50","2,040.50"
12/15/2023,"2,051.30","2,059.60","2,029.20","2,035.70"
12/14/2023,"2,043.20","2,062.90","2,039.10","2,044.90"
12/13/2023,"1,995.10","2,043.30","1,987.90","1,997.30"
12/12/2023,"1,997.80","2,012.50","1,992.30","1,993.20"
12/11/2023,"2,020.00","2,023.70","1,991.20","1,993.70"
12/08/2023,"2,045.70","2,050.40","2,010.60","2,014.50"
12/07/2023,"2,043.40","2,057.20","2,036.60","2,046.40"
12/06/2023,"2,037.80","2,053.40","2,035.30","2,047.90"
12/05/2023,"2,049.00","2,059.60","2,027.60","2,036.30"
12/04/2023,"2,094.40","2,152.30","2,038.40","2,042.20"
12/01/2023,"2,056.50","2,095.70","2,052.60","2,089.70"
11/30/2023,"2,065.40","2,067.40","2,051.20","2,057.20"
11/29/2023,"2,062.00","2,072.70","2,055.90","2,067.10"
11/28/2023,"2,014.30","2,044.10","2,011.50","2,040.00"
11/27/2023,"2,002.50","2,018.90","2,001.40","2,012.40"
